Feature_1,Feature_2,Feature_3
2129.187603868876,-3.397023850460488,-82334.01923564784
2133.6150720002115,-3.438951881701086,-82334.25405431692
2111.436827446343,-3.3617613105395563,-82341.21529163547
2079.6026119764456,-3.281548246343355,-82351.04358915541
2050.647576381177,-3.2755849474702514,-82365.99055492129
2173.6501401174824,-3.2911849642959425,-82315.39281283355
2188.7561765946675,-3.223587078839703,-82309.02619698344
2134.195301356687,-3.0665680325848146,-82338.6284988778
2209.1501780033927,-3.1882697418123165,-82305.63647587349
2389.4705450590445,-3.242075720538924,-87947.9522475345
2248.3247493204594,-3.1851591351706476,-82295.28173004708
2326.7888068305183,-3.226181892455745,-85110.36877621256
2216.199661692746,-3.203399884698082,-82308.00549325257
2269.278906876853,-3.313726020191627,-82279.9143631156
2279.9339933557967,-3.346189223367477,-82286.56314010838
2315.7953490002437,-3.3736845811470095,-82273.62349522326
2343.9951774566002,-3.3288200655067377,-82261.22544823616
2330.0261178254605,-3.2512649838934697,-82271.19387947797
2368.045532786618,-3.195298677660464,-82259.03633225676
2397.1365359660745,-3.1999640708938824,-82247.27646181382
2378.1934866883284,-3.158362321374389,-82247.84267779811
2312.352983059636,-3.1507957190648974,-82268.53701985937
2270.113649371418,-3.1521178933171496,-82293.96371558198
2354.8888700025022,-3.1305671065797833,-82252.04668945404
2338.348924684835,-3.0806086622862225,-82264.20991777208
2311.84660796198,-3.03891507893281,-82275.698989266
2331.1127222795917,-2.946717862598983,-82267.70000492608
2331.4691164208743,-2.9340401214979224,-82269.99327434739
2349.404717860352,-2.8498713435845837,-82254.38730134896
2300.030684030296,-2.8317412818405323,-82279.52615483206
2312.775656663962,-2.803267254951387,-82272.34335473704
2338.3678616742754,-2.8273444453281567,-82265.59610539916
2378.455953361982,-2.9163127812259764,-82251.92738642056
2311.146696832236,-3.2304588922360606,-82287.20131665254
2284.715204449891,-3.2135249183617787,-82278.43159684236
2257.6125851617535,-3.175674957753189,-82297.51250740324
2303.128775502864,-3.2057506757077308,-82274.38854959668
2298.7039585500506,-3.254173096931577,-82278.90312787944
2364.7728422714026,-3.2654652923813887,-82239.90618552333
2336.963115797533,-3.268909188067327,-82267.11106455445
2349.857690647784,-3.2245879728453826,-82262.76313177877
2381.683952582116,-3.122055094422262,-82250.0355811754
2407.913955396807,-3.1503961366767466,-82241.89267571572
2428.082985370972,-3.1155409017228535,-82235.66240618959
2449.784396530712,-3.1154959755804854,-82225.39855791249
2403.6603288285414,-3.254295743760924,-82237.97082520246
2320.58261993096,-3.227076072557103,-82274.98885216197
2315.032567065555,-3.2623620026285374,-82269.07861775739
2245.4311773338554,-3.608368205545569,-82296.00512304372
2195.5659179976965,-3.6377136237066523,-82307.98844996207
2144.728812363419,-3.71057223008588,-82319.91307221315
2046.1367854963005,-3.7049725240028635,-82353.93148004518
1995.1659847165683,-3.5994808615244205,-82380.21034029263
2011.6301820764718,-3.3547904873269663,-82375.02539258366
2042.9996838254842,-3.349772817336546,-82364.29758806525
2075.859526643513,-3.2908710954664593,-82352.51878063288
2055.7666233669015,-3.265398788643488,-82359.71104922262
2076.1996349738756,-3.3206528771240698,-82355.17753395041
2132.554600591508,-3.4148062586218075,-82341.16037436608
2193.8150039539696,-3.4354769701355927,-82317.3868778217
2225.3223669861136,-3.3855689979715557,-82301.98542430923
2178.9668892729724,-3.341289256153656,-82318.87911258967
2186.7768824582813,-3.338775610666544,-82308.02253654307
2141.081169457269,-3.3362392438188913,-82328.70172901277
2120.869341886968,-3.3429619838494546,-82337.93919246216
2148.7964776953722,-3.3113647308632093,-82330.00459388632
2181.7771385060355,-3.323210961836689,-82315.40606872615
2199.371116655996,-3.2852375102237863,-82302.8678880172
2206.0176212100423,-3.0186777571656505,-82309.94464097134
2259.1332254138756,-3.091444394068811,-82295.67183202956
2329.441343591518,-3.012051825872381,-82266.21723865284
2318.0871034624083,-2.893564580311428,-82271.51959569636
2312.1143769926775,-2.892714252640559,-82271.25637154312
