Feature_1,Feature_2,Feature_3,Feature_4,Feature_5,Feature_6,Feature_7,Feature_8,Feature_9,Feature_10,Feature_11,Feature_12,Close
10805419943214.535,950791624082.9385,-27591999768306.152,-9531007791441.016,14129662852214.543,20808630778813.66,3675637495301.7886,848036727824.3063,-7973427393629.344,-22633235782191.363,6671530420950.838,-1085585550921.1458,796.0483333333334
7987334864973.112,702822363168.4358,-20395925753640.1,-7045293100011.739,10444605402052.059,15381679166045.457,2717020510498.3467,626866313897.1951,-5893934344003.737,-16730421753075.498,4931575939396.369,-802461569017.9485,802.5533333333333
11391064942609.113,1002323717793.2007,-29087463932008.668,-10047580649475.328,14895478911890.557,21936441799985.26,3874854083868.0386,893999693517.7457,-8405580866527.79,-23859938707314.08,7033122209386.322,-1144423244633.2249,800.4816666666667
6122523721834.004,538733711093.13654,-15634068106205.129,-5400421362859.552,8006092809132.663,11790502817822.512,2082674967009.9458,480511173729.1864,-4517871459589.619,-12824353111404.432,3780195859711.7773,-615110147647.929,788.68
8742628144622.55,769282197175.4222,-22324592395702.395,-7711505625949.889,11432261492595.314,16836191786628.973,2973945683772.917,686143666431.7996,-6451272868277.419,-18312473265669.91,5397912554140.636,-878343375768.934,783.2466666666667
9335913507473.486,821486623782.454,-23839566433101.87,-8234817776503.706,12208068651545.697,17978716264892.95,3175761255737.7993,732706217706.2561,-6889064102564.943,-19555180003551.625,5764221470431.329,-937948794681.2749,788.4666666666667
10880850979987.545,957428967046.2446,-27784615429618.89,-9597542354980.48,14228299973764.812,20953892745828.72,3701296575201.5244,853956738439.8407,-8029088686673.896,-22791235082230.223,6718103349596.836,-1093163882763.6936,808.6783333333333
9971689625069.678,877429928477.7308,-25463041674239.46,-8795609231917.516,13039438789310.182,19203067447224.402,3392030713554.951,782603477923.7786,-7358209501068.949,-20886888565303.527,6156765000735.951,-1001823322811.823,827.2816666666665
11417642338639.129,1004662369479.2812,-29155330012744.547,-10071023499874.727,14930232984203.54,21987623321114.254,3883894792917.5454,896085478255.0886,-8425192383947.17,-23915608337341.125,7049531445676.897,-1147093586945.1719,845.0100000000001
9070170062611.355,798103332004.899,-23160981442703.684,-8000416640184.295,11860570487641.375,17466958361240.012,3085364323816.366,711849932666.8196,-6692969181567.879,-18998548776187.08,5600144745814.328,-911250589319.9708,859.6850000000001
9522112977749.602,837870748523.3582,-24315032677464.375,-8399056537921.219,12451551816478.822,18337291298309.8,3239099975416.054,747319541568.176,-7026462335991.695,-19945196906083.695,5879185297340.148,-956655871340.3953,833.3616666666668
11680605906449.7,1027801043335.244,-29826816059753.53,-10302972555196.059,15274095972030.814,22494027572732.656,3973346076394.2793,916723547997.6996,-8619235907209.946,-24466416436676.625,7211891762418.699,-1173512642030.6252,838.9233333333334
