Feature_1,Feature_2,Feature_3,Feature_4,Feature_5,Feature_6,Feature_7,Feature_8,Feature_9,Close
10995188981915.521,967489804412.1478,-28076581323377.203,-9698395106215.406,14377813586145.242,21174080134575.49,3740190485477.1377,862930276990.1082,-8113459842271.142,833.3616666666668
13487601928773.334,1186802418085.9626,-34441040562336.305,-11896847956391.537,17637006842160.34,25973865748552.125,4588024853579.561,1058541174417.8815,-9952636342473.096,838.9233333333334
16668654439813.383,1466709896981.0154,-42563964981081.32,-14702721053990.87,21796696958930.168,32099805670184.03,5670111126736.232,1308198366915.9272,-12299967134477.256,824.5133333333334
9400176275046.684,827141271739.4161,-24003662804611.39,-8291501218393.729,12292101729822.844,18102470350800.137,3197621212795.584,737749593848.0963,-6936483910329.017,823.2883333333333
12246354992636.133,1077582482961.9901,-31271476107228.824,-10801996195574.623,16013895435936.184,23583524349882.67,4165794796573.689,961125095862.9688,-9036708117266.559,823.2099999999999
8709167438975.682,766337941859.3345,-22239149203528.07,-7681991350010.756,11388506861841.744,16771754427278.191,2962563469889.3027,683517539640.7822,-6426581750506.565,832.9566666666666
10844601349908.93,954239255581.3965,-27692050873369.316,-9565568046775.398,14180898160268.125,20884084760561.023,3688965688297.9766,851111816435.6914,-8002339827558.253,845.3383333333334
11351152949656.44,998811791803.3486,-28985547265029.074,-10012375965251.928,14843288245187.14,21859580886045.664,3861277369010.729,890867274974.4272,-8376129335262.613,837.3966666666668
12975607896854.78,1141750997829.8523,-33133647130808.88,-11445239554688.854,16967500043279.408,24987889064970.645,4413861868003.811,1018358621942.3712,-9574830906348.293,855.9266666666666
10804190659767.79,950683437390.9313,-27588860819569.574,-9529923474934.453,14128055305324.67,20806263517539.684,3675219340422.2573,847940278166.2303,-7972520361568.155,875.4916666666667
13396928514368.635,1178823859268.4915,-34209503434467.742,-11816868777698.258,17518438079779.574,25799250935472.305,4557180865825.532,1051424967666.6067,-9885727703844.99,781.3866666666668
12196959141062.465,1073236055481.3073,-31145340715112.477,-10758426030503.305,15949303156782.656,23488398926437.36,4148991900940.9546,957248184866.2825,-9000257938897.092,773.7366666666668
10961591351884.496,964533403895.0176,-27990789762416.0,-9668760084905.04,14333879467533.686,21109379937952.934,3728761797723.693,860293667255.3877,-8088668372753.8545,770.495
10597645306397.887,932509060655.6528,-27061439895294.746,-9347738398219.076,13857967011467.506,20408506708191.688,3604959583203.745,831730032203.3473,-7820108384467.174,765.2683333333333
14855627273441.797,1307177832296.3604,-37934339850428.58,-13103525849996.438,19425899526625.88,28608353025260.016,5053380763620.189,1165907408994.3562,-10962116267949.236,759.3116666666666
12732386631784.633,1120349443137.0115,-32512573530459.758,-11230704271381.715,16649452739689.28,24519503614508.49,4331126240863.6436,999270005386.9857,-9395355515203.379,765.705
15989117298327.512,1406916026322.3987,-40828743644451.14,-14103329804590.344,20908103148316.996,30791180748729.8,5438955584548.516,1254866460519.8516,-11798529602403.549,750.1066666666667
20393269513951.965,1794446668943.4363,-52074893237905.766,-17988047840797.047,26667174750630.348,39272515055147.016,6937098855255.881,1600515482287.121,-15048397554387.121,739.5033333333333
12408749081145.576,1091871893812.9034,-31686154309202.14,-10945237164886.53,16226249433043.133,23896255834575.203,4221035722319.311,973870116754.5032,-9156540144904.332,735.58
13847158079444.81,1218440539090.6946,-35359179490066.945,-12213997423273.887,18107179074955.35,26666284316030.723,4710333684692.024,1086760072287.0326,-10217956461259.232,722.635
10685210981385.758,940214159419.8589,-27285042298300.953,-9424976488653.213,13972471992927.639,20577137408038.434,3634746492321.8267,838602464167.9082,-7884724100212.372,711.5566666666667
