Feature_1,Feature_2,Feature_3,Feature_4,Feature_5,Feature_6,Feature_7,Feature_8,Feature_9,Feature_10,Close
10196599040083.39,897220141848.0085,-26037355482504.58,-8993992359054.477,13333540473125.254,19636188780964.727,3468537284041.3403,800254994620.6866,-7524172557262.026,-21357987960763.07,831.6333333333333
10112535704779.973,889823219767.084,-25822696979773.76,-8919843602939.04,13223615337489.408,19474303104583.754,3439941790998.796,793657507170.6775,-7462141426107.784,-21181907275888.953,808.4783333333332
10435937728102.932,918280027822.8334,-26648514775878.23,-9205102938789.295,13646510571713.3,20097097319732.37,3549952193596.4097,819038928810.7462,-7700783049451.55,-21859311125516.27,856.995
15748631135953.008,1385755099279.3215,-40214654580974.11,-13891207033135.12,20593632201388.152,30328062688473.203,5357150377594.121,1235992589372.9119,-11621072703131.754,-32987378753842.895,840.6766666666666
11164648794420.037,982400891267.7169,-28509302782685.14,-9847868472280.738,14599406816482.508,21500418959845.16,3797834986813.3584,876229976293.4813,-8238506108193.497,-23385683247762.418,829.555
11363711972539.98,999916867543.9287,-29017617156171.844,-10023453728350.252,14859710895113.41,21883766543287.26,3865549526684.8857,891852960468.6763,-8385396828043.531,-23802644611009.633,777.7616666666667
10785590616257.95,949046774845.034,-27541364837060.69,-9513517130190.992,14103732990486.25,20770444227748.902,3668892227300.5537,846480486920.0336,-7958795179015.816,-22591700734202.93,758.4449999999999
9645159846585.258,848697864736.2836,-24629237289966.906,-8507591014036.106,12612453388062.9,18574250088672.88,3280956375462.484,756976651227.3809,-7117260055980.273,-20202933251316.9,809.33
12261438435456.521,1078909733983.892,-31309991603432.94,-10815300632027.504,16033619336191.105,23612571043368.24,4170925629364.926,962308781907.9241,-9047838088879.531,-25683039473983.67,850.6383333333332
12592324765166.686,1108025152685.2288,-32154920727469.227,-11107161615509.475,16466301648424.916,24249778154185.04,4283481925403.9106,988277525277.7236,-9292002274135.223,-26376120268708.156,790.9683333333334
9710734562695.389,854467947530.6953,-24796684187284.246,-8565431714665.154,12698202007071.04,18700530950043.414,3303262644573.373,762123053330.1807,-7165648119867.423,-20340287186592.43,805.4283333333333
11084968897205.107,975389711931.2728,-28305837409455.973,-9777586193348.348,14495213837242.555,21346974639813.406,3770730577224.335,869976459819.569,-8179709416997.5,-23218784275771.688,787.2583333333333
8295892877023.147,729973043115.7982,-21183838852668.484,-7317459190057.425,10848090077568.008,15975887377577.768,2821981477532.807,651082707605.5836,-6121622327345.556,-17376733186075.223,735.4133333333333
8469642692927.676,745261656182.7656,-21627514786937.95,-7470716616932.813,11075293312959.887,16310487580990.367,2881085273140.431,664719030907.5282,-6249834047870.19,-17740672816472.688,711.9116666666666
11821610225680.955,1040208332520.4329,-30186875540161.707,-10427346613301.184,15458479829290.465,22765568016439.82,4021310978451.9814,927789931744.1925,-8723284407009.111,-24761767023275.164,722.88
8855443127752.635,779209048495.4979,-22612669069289.023,-7811015004916.812,11579783662658.547,17053446114695.354,3012321501778.031,694997628372.0498,-6534520051744.363,-18548777674987.99,729.5883333333334
9055911215149.695,796848645418.9878,-23124571032594.812,-7987839485502.146,11841924870245.312,17439499283735.883,3080513951532.6094,710730887133.7158,-6682447501175.067,-18968681858953.8,726.1183333333333
7052445832752.748,620559496988.2852,-18008655472739.84,-6220666672523.922,9222101558725.469,13581308537886.072,2399002960641.1836,553493868667.2599,-5204070413953.121,-14772185562218.613,714.8433333333334
11210014329090.828,986392718099.507,-28625145081189.758,-9887883518534.676,14658728956753.162,21587781958845.168,3813266793894.2188,879790346267.5002,-8271981704141.143,-23480706763584.21,693.8349999999999
6074336068039.326,534493578399.62146,-15511019530978.854,-5357917079918.271,7943080446504.411,11697705156217.502,2066283174093.141,476729309175.5211,-4482313362272.594,-12723418495200.648,660.4783333333332
7970996604500.897,701384728215.3483,-20354205416470.1,-7030881803866.288,10423240765522.488,15350215587237.625,2711462783825.0947,625584036358.2526,-5881878149846.194,-16696199318807.31,655.3783333333334
7926269071656.822,697449056054.4689,-20239992187097.27,-6991429521512.129,10364752980103.836,15264081165014.752,2696247995072.3867,622073710835.2052,-5848873268196.364,-16602512186649.865,658.8783333333333
